City_ID,City,Country,Data,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
247,Oistins,13.0667,-59.5333,86.09,70,40,21.85,BB,2022-06-07 13:34:19
248,Lleida,41.6167,0.6167,89.94,34,0,11.5,ES,2022-06-07 13:34:19
249,Jesup,31.6074,-81.8854,80.71,78,0,0.0,US,2022-06-07 13:34:20
250,Koson,39.0375,65.585,98.92,13,0,3.4,UZ,2022-06-07 13:34:20
251,Igarka,67.4667,86.5833,46.38,70,95,11.48,RU,2022-06-07 13:34:21
252,Kimbe,-5.5502,150.1429,75.33,92,69,2.48,PG,2022-06-07 13:34:21
253,Upata,8.0086,-62.3989,74.19,69,97,8.16,VE,2022-06-07 13:34:22
254,Trogir,43.5125,16.2517,82.8,47,0,11.5,HR,2022-06-07 13:34:22
255,Sao Filipe,14.8961,-24.4956,77.67,66,0,6.85,CV,2022-06-07 13:34:22
256,Abu Samrah,35.3029,37.1841,88.39,30,7,18.07,SY,2022-06-07 13:34:23
257,Skjervoy,70.0311,20.9714,50.0,77,100,38.81,NO,2022-06-07 13:34:23
258,College,64.8569,-147.8028,55.8,60,20,11.5,US,2022-06-07 13:32:42
259,Beloha,-25.1667,45.05,67.95,72,92,12.55,MG,2022-06-07 13:34:24
260,Progreso,21.2833,-89.6667,81.1,76,100,10.4,MX,2022-06-07 13:34:24
261,Mount Gambier,-37.8333,140.7667,47.57,72,67,8.93,AU,2022-06-07 13:34:24
262,Ilam,26.9167,87.9167,71.78,86,99,3.74,NP,2022-06-07 13:34:25
263,Asau,46.4333,26.4,78.28,41,91,8.19,RO,2022-06-07 13:34:25
264,Kuah,6.3265,99.8432,80.58,83,20,0.0,MY,2022-06-07 13:34:26
265,Mandal,25.45,74.5667,98.44,13,1,14.65,IN,2022-06-07 13:34:26
266,Bokoro,12.3807,17.0568,108.1,7,1,14.09,TD,2022-06-07 13:34:26
267,Puerto Escondido,15.85,-97.0667,77.83,73,75,5.75,MX,2022-06-07 13:34:27
